"","Date","OnDeckBatter","OPS+","ROB","LI","Result"
"1","2023-03-30","Austin Hays",105,"1--","1.71","HR"
"2","2023-03-30","Freddie Freeman",156,"-23","1.8","SO"
"3","2023-03-30","Ji Hwan Bae",137,"---","0.54","Out"
"4","2023-03-30","Hunter Renfroe",124,"---","0.46","BB"
"5","2023-03-30","Taylor Ward",134,"--3","2.02","1B"
"6","2023-03-30","Brandon Nimmo",130,"---","0.31","Out"
"7","2023-03-30","Myles Straw",65,"---","0.97","Out"
"8","2023-03-31","Jake McCarthy",117,"1--","1.05","SO"
"9","2023-03-30","Alex Call",115,"1--","1.5","2B"
"10","2023-03-31","Luis Robert Jr.",110,"---","0.87","BB"
"11","2023-04-01","Jason Heyward",56,"---","0","SO"
"12","2023-04-01","Thairo Estrada",105,"123","2.6","SO"
"13","2023-04-01","Steven Kwan",124,"---","0.68","SO"
"14","2023-04-01","Juan Soto",147,"-2-","0.84","Out"
"15","2023-04-01","Keibert Ruiz",94,"---","0.35","BB"
"16","2023-04-01","Josh Jung",81,"---","0.64","BB"
"17","2023-04-02","Anthony Santander",120,"---","0.63","SO"
"18","2023-04-02","Matt Duffy",77,"---","1.35","Out"
"19","2023-04-02","Miguel Rojas",71,"1--","0.74","SO"
"20","2023-04-02","Xander Bogaerts",131,"---","0.22","Out"
"21","2023-04-02","Tony Kemp",90,"-2-","1.09","Out"
"22","2023-04-03","Adam Duvall",86,"-2-","1.22","HR"
"23","2023-04-02","Manuel Margot",104,"---","0.61","Out"
"24","2023-04-03","Wilmer Flores",101,"---","0.07","BB"
"25","2023-04-03","Jon Berti",88,"---","0.44","SO"
"26","2023-04-03","Bobby Witt Jr.",102,"---","0.46","Out"
"27","2023-04-03","Alejandro Kirk",127,"---","0.81","SO"
"28","2023-04-03","Bo Bichette",128,"12-","0.16","1B"
"29","2023-04-03","Shea Langeliers",99,"---","1.65","SO"
"30","2023-04-04","Canaan Smith-Njigba",138,"---","0.69","Out"
"31","2023-04-04","Rafael Devers",141,"---","0.87","1B"
"32","2023-04-04","Adam Duvall",86,"1-3","1.69","Out"
"33","2023-04-04","Jonathan India",94,"---","0.62","SO"
"34","2023-04-04","Eric Hosmer",107,"123","1.7","1B"
"35","2023-04-04","Jake Meyers",67,"1--","1.49","Out"
"36","2023-04-04","Tyler Stephenson",133,"---","0.41","SO"
"37","2023-04-04","Jake McCarthy",117,"---","0.13","SO"
"38","2023-04-04","Jorge Mateo",84,"-2-","0.54","Out"
"39","2023-04-04","Brandon Drury",123,"1-3","0.13","Out"
"40","2023-04-05","Ryan Jeffers",85,"---","1.73","SO"
"41","2023-04-05","Elvis Andrus",104,"---","0.01","Out"
"42","2023-04-05","Franmil Reyes",80,"1--","1","SO"
"43","2023-04-05","Kyle Farmer",92,"1--","1.03","SO"
"44","2023-04-05","Tony Kemp",90,"---","0.99","Out"
"45","2023-04-05","Michael Chavis",83,"-2-","1.66","1B"
"46","2023-04-05","Corey Seager",117,"1--","0.64","SO"
"47","2023-04-05","Austin Hays",105,"---","0.39","SO"
"48","2023-04-06","Andrew Vaughn",111,"---","0.11","Out"
"49","2023-04-06","Luis Robert Jr.",110,"-23","1.6","1B"
"50","2023-04-06","Spencer Torkelson",74,"12-","1.82","SO"
"51","2023-04-06","Whit Merrifield",90,"---","0.39","SO"
"52","2023-04-07","Kyle Tucker",129,"---","0.49","1B"
"53","2023-04-07","Dominic Smith",62,"---","0.14","BB"
"54","2023-04-07","Kyle Tucker",129,"1--","0.79","SO"
"55","2023-04-07","Jazz Chisholm Jr.",138,"---","0.4","1B"
"56","2023-04-07","Luis Robert Jr.",110,"---","0.74","1B"
"57","2023-04-07","Tyler Stephenson",133,"---","0.99","SO"
"58","2023-04-07","Brandon Nimmo",130,"---","0.6","1B"
"59","2023-04-08","DJ LeMahieu",110,"---","1.19","3B"
"60","2023-04-08","Jake Cronenworth",109,"1--","0.81","SO"
"61","2023-04-08","Kris Bryant",128,"---","0.86","2B"
"62","2023-04-08","Ji Hwan Bae",137,"-2-","1.5","Out"
"63","2023-04-08","Andrew Vaughn",111,"-2-","0.73","Out"
"64","2023-04-08","Willy Adames",110,"---","0.91","Out"
"65","2023-04-08","J.D. Davis",116,"---","0.16","1B"
"66","2023-04-09","José Herrera",32,"-23","1.82","1B"
"67","2023-04-09","Daulton Varsho",108,"1-3","2.12","1B"
"68","2023-04-09","Trent Grisham",81,"-2-","1.1","Out"
"69","2023-04-09","Josh Rojas",110,"--3","1.22","1B"
"70","2023-04-09","Brian Anderson",86,"---","0.67","SO"
"71","2023-04-09","Nick Fortes",95,"1--","0.09","Out"
"72","2023-04-09","Jurickson Profar",109,"---","0.62","Out"
"73","2023-04-09","Jarred Kelenic",55,"-2-","3.94","SO"
"74","2023-04-10","TJ Friedl",104,"1--","1.58","Out"
"75","2023-04-10","Lourdes Gurriel Jr.",114,"1--","1.08","BB"
"76","2023-04-10","Tony Kemp",90,"1--","1.94","Out"
"77","2023-04-10","TJ Friedl",104,"-2-","3.94","1B"
"78","2023-04-10","Andrew Vaughn",111,"---","1.14","1B"
"79","2023-04-10","Luis Robert Jr.",110,"1--","1.32","Out"
"80","2023-04-10","Austin Nola",90,"---","0.99","BB"
"81","2023-04-10","Salvador Pérez",110,"---","0.46","SO"
"82","2023-04-11","Hunter Renfroe",124,"1--","0.24","BB"
"83","2023-04-11","Christian Yelich",109,"-23","0.82","2B"
"84","2023-04-11","Garrett Cooper",112,"---","0.63","1B"
"85","2023-04-11","Aaron Hicks",85,"---","0.01","Out"
"86","2023-04-11","Manny Machado",157,"---","0.72","Out"
"87","2023-04-11","Ryan Mountcastle",108,"-23","1.66","IBB"
"88","2023-04-11","Freddie Freeman",156,"1--","1.51","BB"
"89","2023-04-12","Ketel Marte",105,"---","0.87","CatInt"
"90","2023-04-11","Hunter Dozier",91,"-2-","2.38","Out"
"91","2023-04-12","Jace Peterson",97,"1-3","0.13","1B"
"92","2023-04-12","Mike Moustakas",76,"---","0.38","SO"
"93","2023-04-12","Sean Murphy",122,"---","0.88","2B"
"94","2023-04-12","Christian Walker",125,"---","0.42","1B"
"95","2023-04-12","Ji Hwan Bae",137,"---","0.54","Out"
"96","2023-04-12","Wander Franco",116,"-2-","1.09","SO"
"97","2023-04-12","Kody Clemens",43,"---","1.17","Out"
"98","2023-04-13","Austin Hays",105,"---","0.41","SO"
"99","2023-04-13","Yu Chang",75,"---","0.42","SO"
"100","2023-04-13","Alec Bohm",101,"---","0.33","SO"
"101","2023-04-13","Xander Bogaerts",131,"---","1.53","Out"
"102","2023-04-14","Spencer Torkelson",74,"12-","0.44","Out"
"103","2023-04-14","Brandon Marsh",91,"-2-","1.07","BB"
"104","2023-04-14","Anthony Santander",120,"1--","1.15","Out"
"105","2023-04-14","J.D. Davis",116,"---","0.92","SO"
"106","2023-04-14","Edwin Ríos",117,"---","0.12","Out"
"107","2023-04-14","Sam Hilliard",48,"---","0.13","Out"
"108","2023-04-14","Christian Yelich",109,"---","0","Out"
"109","2023-04-14","Dansby Swanson",114,"---","0.5","Out"
"110","2023-04-15","Miguel Vargas",27,"12-","1.6","Out"
"111","2023-04-15","Bobby Witt Jr.",102,"-2-","0.11","Out"
"112","2023-04-15","Aaron Judge",210,"-2-","0.46","1B"
"113","2023-04-15","Spencer Torkelson",74,"---","0.75","HR"
"114","2023-04-15","Trevor Larnach",102,"---","0.4","SO"
"115","2023-04-15","Jason Heyward",56,"---","0.53","Out"
"116","2023-04-15","MJ Melendez",99,"---","0.92","Out"
"117","2023-04-15","Rowdy Tellez",113,"---","1.34","Out"
"118","2023-04-15","Steven Kwan",124,"1-3","1.94","FC"
"119","2023-04-15","Brent Rooker",11,"-2-","2.66","SO"
"120","2023-04-15","Jurickson Profar",109,"---","0.87","Out"
"121","2023-04-16","Sean Murphy",122,"---","0.4","1B"
"122","2023-04-16","Seby Zavala",108,"1--","2.05","SO"
"123","2023-04-16","Chris Taylor",89,"---","1.58","SO"
"124","2023-04-16","Franmil Reyes",80,"---","0.66","Out"
"125","2023-04-16","Bryan Reynolds",127,"12-","1.54","Out"
"126","2023-04-16","Juan Soto",147,"---","0.77","SO"
"127","2023-04-17","Gio Urshela",119,"---","0.64","SO"
"128","2023-04-17","Raimel Tapia",92,"---","1.57","BB"
"129","2023-04-17","Jeff McNeil",140,"---","0.32","SO"
"130","2023-04-17","Triston Casas",113,"---","1.77","Out"
"131","2023-04-17","Brendan Donovan",124,"---","0.3","HBP"
"132","2023-04-17","Nelson Cruz",89,"1--","1.2","Out"
"133","2023-04-17","Rowdy Tellez",113,"---","0.5","SO"
"134","2023-04-17","Alec Burleson",54,"---","1.15","1B"
"135","2023-04-18","Jack Suwinski",99,"---","0.83","Out"
"136","2023-04-18","Matt Chapman",116,"1-3","0.65","Out"
"137","2023-04-18","Ian Happ",117,"---","0.99","SO"
"138","2023-04-18","Travis Jankowski",33,"---","0.87","BB"
"139","2023-04-18","Ronald Acuna Jr.",112,"---","0.04","1B"
"140","2023-04-18","Vaughn Grissom",119,"---","0.68","Out"
"141","2023-04-18","Taylor Motter",-8,"-2-","1.08","BB"
"142","2023-04-18","Adley Rutschman",131,"---","0.72","SO"
"143","2023-04-19","Will Brennan",159,"-2-","0.72","SO"
"144","2023-04-18","Trea Turner",124,"1--","1.23","Out"
"145","2023-04-19","Christian Bethancourt",100,"---","0.07","BB"
"146","2023-04-19","Nick Maton",139,"---","0.72","SO"
"147","2023-04-19","Miguel Vargas",27,"---","0.79","2B"
"148","2023-04-19","Josh Jung",81,"---","0.39","Out"
"149","2023-04-19","Thairo Estrada",105,"--3","6.09","SO"
"150","2023-04-19","James McCann",55,"---","0.27","Out"
"151","2023-04-20","TJ Friedl",104,"---","0.66","1B"
"152","2023-04-20","Yonathan Daza",98,"12-","0.91","Out"
"153","2023-04-20","Jack Suwinski",99,"1--","0.3","SO"
"154","2023-04-21","Rodolfo Castro",103,"-23","1.52","1B"
"155","2023-04-21","Justin Turner",120,"---","0.62","SO"
"156","2023-04-21","Matt Vierling",84,"---","0.78","Out"
"157","2023-04-22","Trent Grisham",81,"---","0.39","SO"
"158","2023-04-22","Edward Olivares",110,"---","0.71","SO"
"159","2023-04-21","Luis Robert Jr.",110,"12-","1.7","1B"
"160","2023-04-22","Evan Longoria",116,"---","1.87","Out"
"161","2023-04-22","Tucupita Marcano",59,"---","0.38","Out"
"162","2023-04-22","Adam Frazier",80,"123","2.57","2B"
"163","2023-04-22","Santiago Espinal",99,"-2-","1.29","Out"
"164","2023-04-22","Shea Langeliers",99,"12-","1.45","Out"
"165","2023-04-22","Randy Arozarena",123,"---","0.8","SO"
"166","2023-04-22","Brad Miller",67,"-2-","0","1B"
"167","2023-04-22","Heliot Ramos",-16,"---","0.18","Out"
"168","2023-04-23","Sam Hilliard",48,"12-","3.56","Out"
"169","2023-04-23","Oscar González",125,"--3","0.97","2B"
"170","2023-04-23","Mike Trout",176,"1--","0.75","Out"
"171","2023-04-23","Aaron Judge",210,"---","0.19","Out"
"172","2023-04-23","Edmundo Sosa",82,"-2-","0.51","SO"
"173","2023-04-23","Christian Bethancourt",100,"---","0.15","Out"
"174","2023-04-23","Kolten Wong",116,"---","0.71","Out"
"175","2023-04-24","Pavin Smith",89,"1--","1.31","BB"
"176","2023-04-24","Brandon Drury",123,"---","0.39","Out"
"177","2023-04-24","Kevin Smith",51,"---","0.1","1B"
"178","2023-04-24","Jake Fraley",121,"--3","1.28","Out"
"179","2023-04-24","Yasmani Grandal",64,"---","1.23","Out"
"180","2023-04-24","Thairo Estrada",105,"-23","1.81","IBB"
"181","2023-04-24","Trevor Larnach",102,"-2-","0.15","SO"
"182","2023-04-24","Alejandro Kirk",127,"---","0.8","Out"
"183","2023-04-25","Kevin Pillar",-10,"---","0.05","SO"
"184","2023-04-25","Alek Thomas",75,"-2-","1.53","Out"
"185","2023-04-25","Eddie Rosario",62,"--3","0.22","Out"
"186","2023-04-25","Francisco Álvarez",121,"---","0.12","SO"
"187","2023-04-25","Tommy Edman",107,"1--","2.07","Out"
"188","2023-04-25","Brandon Nimmo",130,"---","0.34","SO"
"189","2023-04-25","David Hensley",192,"1--","1.44","Out"
"190","2023-04-26","Jon Berti",88,"123","1.18","SO"
"191","2023-04-26","Josh Bell",127,"1--","0.79","HR"
"192","2023-04-26","Esteury Ruiz",29,"---","0.85","Out"
"193","2023-04-26","Nick Maton",139,"1-3","1.59","SO"
"194","2023-04-26","Thairo Estrada",105,"-2-","1.53","1B"
"195","2023-04-26","LaMonte Wade Jr.",89,"123","3.43","Out"
"196","2023-04-26","Francisco Álvarez",121,"---","0.51","SO"
"197","2023-04-27","Luke Raley",73,"12-","1.67","SO"
"198","2023-04-27","Riley Greene",97,"---","0.87","1B"
"199","2023-04-27","Matt Carpenter",216,"1--","1.24","Out"
"200","2023-04-27","AJ Pollock",92,"---","0.51","Out"
"201","2023-04-27","Miguel Cabrera",80,"1--","1.86","BB"
"202","2023-04-28","Alan Trejo",96,"---","0.7","Out"
"203","2023-04-28","Jarren Duran",78,"1-3","3.39","Out"
"204","2023-04-28","Brandon Lowe",101,"---","0.58","Out"
"205","2023-04-28","Spencer Steer",74,"---","0.62","1B"
"206","2023-04-28","Vinnie Pasquantino",135,"1-3","1.87","Out"
"207","2023-04-28","Oswald Peraza",138,"1--","0.39","1B"
"208","2023-04-28","José Barrero",11,"12-","0.11","BB"
"209","2023-04-29","Jake Lamb",100,"-23","0.93","Out"
"210","2023-04-29","Shohei Ohtani",144,"1--","1.32","Out"
"211","2023-04-29","J.T. Realmuto",130,"---","0.67","SO"
"212","2023-04-29","Zack Short",-50,"12-","1.37","SO"
"213","2023-04-29","Riley Adams",59,"---","0.46","Out"
"214","2023-04-29","CJ Abrams",75,"---","0.75","SO"
"215","2023-04-29","Trent Grisham",81,"12-","1.05","Out"
"216","2023-04-30","Jake Meyers",67,"12-","1.21","SO"
"217","2023-04-30","Akil Baddoo",63,"---","0.71","2B"
"218","2023-04-30","Lourdes Gurriel Jr.",114,"1--","1.36","SO"
"219","2023-04-30","Jarren Duran",78,"---","1.17","1B"
"220","2023-04-30","Freddie Freeman",156,"---","0.54","Out"
"221","2023-04-30","Mike Yastrzemski",97,"-2-","0.65","1B"
"222","2023-04-30","Xander Bogaerts",131,"---","1.84","BB"
"223","2023-05-01","Mike Zunino",43,"123","5.93","SO"
"224","2023-04-30","Joey Meneses",164,"---","0.01","Out"
"225","2023-04-30","Vladimir Guerrero Jr.",133,"1--","0.39","1B"
"226","2023-04-30","Miguel Andújar",61,"---","0.08","2B"
"227","2023-05-01","Nico Hoerner",105,"---","0.06","Out"
"228","2023-05-02","Rowdy Tellez",113,"1--","1.13","SO"
"229","2023-05-01","Pete Alonso",146,"---","0.64","Out"
"230","2023-05-02","Jake Fraley",121,"-23","1.53","SO"
"231","2023-05-02","Miguel Rojas",71,"12-","0","1B"
"232","2023-05-02","Bryce Harper",146,"---","0.36","BB"
"233","2023-05-03","Jurickson Profar",109,"---","0.87","Out"
"234","2023-05-03","Byron Buxton",133,"---","0.41","Out"
"235","2023-05-02","Isaac Paredes",113,"---","0.49","HR"
"236","2023-05-03","Ryan Jeffers",85,"---","0.85","1B"
"237","2023-05-03","Oswaldo Cabrera",108,"--3","5.83","1B"
"238","2023-05-03","Ozzie Albies",93,"1--","0.21","1B"
"239","2023-05-03","Luis Arráez",128,"---","0.3","Out"
"240","2023-05-04","Brandon Belt",93,"1--","0.68","SO"
"241","2023-05-04","Ozzie Albies",93,"1--","0.79","2B"
"242","2023-05-04","C.J. Cron",108,"1--","1.82","BB"
"243","2023-05-04","Nick Pratto",84,"---","1.25","1B"
"244","2023-05-04","Hanser Alberto",73,"--3","3.4","IBB"
"245","2023-05-04","Kevin Pillar",-10,"---","0.7","Out"
"246","2023-05-04","Vladimir Guerrero Jr.",133,"---","0.38","Out"
"247","2023-05-04","Tommy Pham",89,"---","0.91","SO"
"248","2023-05-04","Willson Contreras",126,"---","0.72","Out"
"249","2023-05-04","Jeimer Candelario",81,"---","0.62","Out"
"250","2023-05-04","Luke Raley",73,"---","0.67","HR"
"251","2023-05-04","Jack Suwinski",99,"12-","1.27","2B"
"252","2023-05-05","Brent Rooker",11,"---","0.91","BB"
"253","2023-05-05","Tony Kemp",90,"123","2.38","Out"
"254","2023-05-05","Tyler Stephenson",133,"---","1.93","SO"
"255","2023-05-05","Ty France",125,"---","0.87","Out"
"256","2023-05-05","Willson Contreras",126,"---","3.52","2B"
"257","2023-05-05","Brian Anderson",86,"1--","2.9","SO"
"258","2023-05-06","Ryan McKenna",83,"---","2.93","SO"
"259","2023-05-06","Starling Marte",132,"1--","1.78","1B"
"260","2023-05-06","Christian Walker",125,"---","3.51","HR"
"261","2023-05-06","Yuli Gurriel",85,"---","0.48","1B"
"262","2023-05-06","Bryson Stott",85,"1--","0.76","Out"
"263","2023-05-06","Jarren Duran",78,"---","0.11","Out"
"264","2023-05-06","David Hensley",192,"-23","1.5","Out"
"265","2023-05-07","Gunnar Henderson",126,"---","1.17","Out"
"266","2023-05-07","Luis Rengifo",102,"---","0.52","1B"
"267","2023-05-07","Cedric Mullins",107,"---","1.88","Out"
"268","2023-05-07","Tucker Barnhart",61,"-2-","4.92","Out"
"269","2023-05-07","Trea Turner",124,"---","0.12","Out"
"270","2023-05-07","Vinnie Pasquantino",135,"---","0.4","1B"
"271","2023-05-07","Brent Rooker",11,"---","1.04","Out"
"272","2023-05-07","Jurickson Profar",109,"---","0.97","1B"
"273","2023-05-07","Mitch Haniger",114,"---","0.41","1B"
"274","2023-05-08","Wander Franco",116,"12-","1.78","BB"
"275","2023-05-08","Anthony Santander",120,"---","1.57","SO"
"276","2023-05-08","Adam Frazier",80,"--3","2.47","Out"
"277","2023-05-08","Josh Bell",127,"1-3","1.55","Out"
"278","2023-05-08","Hanser Alberto",73,"12-","1.49","Out"
"279","2023-05-08","Trey Mancini",103,"---","1.75","Out"
"280","2023-05-09","Kyle Stowers",106,"12-","0.85","Out"
"281","2023-05-09","Yuli Gurriel",85,"1--","0.27","Out"
"282","2023-05-09","Taylor Walls",62,"--3","1.64","BB"
"283","2023-05-09","Sean Murphy",122,"12-","0.74","Out"
"284","2023-05-09","Xander Bogaerts",131,"---","0.93","1B"
"285","2023-05-09","Maikel García",103,"---","0.78","Out"
"286","2023-05-09","Bryson Stott",85,"-23","0.21","Out"
"287","2023-05-09","Hanser Alberto",73,"---","0.24","Out"
"288","2023-05-09","Jurickson Profar",109,"---","0.17","Out"
"289","2023-05-10","Jacob Stallings",67,"---","1.16","2B"
"290","2023-05-10","Jon Berti",88,"---","0.93","Out"
"291","2023-05-10","David Hensley",192,"---","0.25","1B"
"292","2023-05-10","Brett Baty",67,"1--","0.91","BB"
"293","2023-05-10","Willson Contreras",126,"---","0.12","Out"
"294","2023-05-10","Miguel Cabrera",80,"---","0.03","Out"
"295","2023-05-10","Freddie Freeman",156,"---","0.87","Out"
"296","2023-05-11","MJ Melendez",99,"---","0.47","Out"
"297","2023-05-11","Gabriel Moreno",112,"1--","1.29","1B"
"298","2023-05-11","Francisco Lindor",125,"-2-","0.51","SO"
"299","2023-05-11","Edward Olivares",110,"---","1.4","SO"
"300","2023-05-11","Jordan Diaz",83,"1--","1.23","Out"
"301","2023-05-11","Alex Kirilloff",86,"---","0.72","Out"
"302","2023-05-12","Jean Segura",105,"1--","1.58","2B"
"303","2023-05-12","Miguel Rojas",71,"--3","1.37","SO"
"304","2023-05-13","Joey Bart",87,"---","0.95","1B"
"305","2023-05-13","Pavin Smith",89,"1--","1.94","Out"
"306","2023-05-12","JJ Bleday",66,"--3","3.38","1B"
"307","2023-05-13","Manny Machado",157,"---","0.87","Out"
"308","2023-05-13","J.P. Crawford",100,"---","0.26","Out"
"309","2023-05-13","Rafael Devers",141,"-23","1.81","2B"
"310","2023-05-13","Isaac Paredes",113,"---","0.93","1B"
"311","2023-05-13","Nick Madrigal",66,"---","1.03","1B"
"312","2023-05-13","Aaron Judge",210,"---","0.39","Out"
"313","2023-05-13","Jorge Polanco",115,"123","0.01","1B"
"314","2023-05-14","Yordan Álvarez",188,"---","0.37","Out"
"315","2023-05-14","Nick Maton",139,"--3","1.6","SO"
